municipio,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,municipio_sidra
Sena Madureira (AC),0.603,0.593,0.456,0.81,Sena Madureira - AC
Carrapateira (PB),0.603,0.529,0.543,0.765,Carrapateira - PB
Jericó (PB),0.603,0.577,0.476,0.798,Jericó - PB
Jardim de Piranhas (RN),0.603,0.59,0.469,0.792,Jardim de Piranhas - RN
Ipanguaçu (RN),0.603,0.568,0.518,0.744,Ipanguaçu - RN
Paraú (RN),0.603,0.582,0.522,0.721,Paraú - RN
Abaíra (BA),0.603,0.577,0.51,0.746,Abaíra - BA
Pindaí (BA),0.603,0.566,0.498,0.777,Pindaí - BA
Condado (PE),0.602,0.581,0.527,0.713,Condado - PE
Rondon do Pará (PA),0.602,0.606,0.457,0.788,Rondon do Pará - PA
Santana do Araguaia (PA),0.602,0.591,0.478,0.774,Santana do Araguaia - PA
Barro Preto (BA),0.602,0.576,0.508,0.744,Barro Preto - BA
Lagoa de Itaenga (PE),0.602,0.555,0.509,0.774,Lagoa de Itaenga - PE
Caaporã (PB),0.602,0.565,0.509,0.757,Caaporã - PB
Lago dos Rodrigues (MA),0.602,0.555,0.534,0.737,Lago dos Rodrigues - MA
Gameleira (PE),0.602,0.541,0.532,0.759,Gameleira - PE
Nazária (PI),0.602,0.546,0.512,0.78,Nazária - PI
Itabi (SE),0.602,0.569,0.512,0.748,Itabi - SE
Colares (PA),0.602,0.541,0.528,0.763,Colares - PA
Ibititá (BA),0.602,0.554,0.527,0.747,Ibititá - BA
Senador La Rocque (MA),0.602,0.57,0.515,0.743,Senador La Rocque - MA
Bom Jardim (PE),0.602,0.552,0.515,0.767,Bom Jardim - PE
Altaneira (CE),0.602,0.547,0.515,0.774,Altaneira - CE
Rio Espera (MG),0.602,0.575,0.474,0.801,Rio Espera - MG
Jussiape (BA),0.602,0.6,0.493,0.736,Jussiape - BA
Triunfo Potiguar (RN),0.602,0.579,0.516,0.73,Triunfo Potiguar - RN
Ribeirão (PE),0.602,0.595,0.516,0.711,Ribeirão - PE
Botumirim (MG),0.602,0.54,0.517,0.782,Botumirim - MG
Araripina (PE),0.602,0.595,0.467,0.785,Araripina - PE
São Bento (MA),0.602,0.525,0.545,0.762,São Bento - MA
Itapiratins (TO),0.601,0.611,0.446,0.796,Itapiratins - TO
Jequeri (MG),0.601,0.607,0.451,0.794,Jequeri - MG
Bequimão (MA),0.601,0.51,0.561,0.757,Bequimão - MA
Jucurutu (RN),0.601,0.583,0.492,0.755,Jucurutu - RN
Santa Cruz do Piauí (PI),0.601,0.57,0.53,0.72,Santa Cruz do Piauí - PI
Acaraú (CE),0.601,0.554,0.517,0.758,Acaraú - CE
Mutuípe (BA),0.601,0.618,0.467,0.751,Mutuípe - BA
Cândido Sales (BA),0.601,0.565,0.482,0.798,Cândido Sales - BA
Pereiro (CE),0.601,0.525,0.534,0.776,Pereiro - CE
Cipó (BA),0.601,0.589,0.496,0.744,Cipó - BA
Reriutaba (CE),0.601,0.56,0.509,0.761,Reriutaba - CE
Diogo de Vasconcelos (MG),0.601,0.578,0.464,0.811,Diogo de Vasconcelos - MG
Lagoa D'Anta (RN),0.601,0.58,0.507,0.739,Lagoa D'Anta - RN
Taipas do Tocantins (TO),0.601,0.578,0.47,0.798,Taipas do Tocantins - TO
Dom Expedito Lopes (PI),0.601,0.583,0.488,0.762,Dom Expedito Lopes - PI
Cotriguaçu (MT),0.601,0.623,0.423,0.825,Cotriguaçu - MT
Ribeiro Gonçalves (PI),0.601,0.568,0.485,0.787,Ribeiro Gonçalves - PI
Águas Vermelhas (MG),0.601,0.586,0.458,0.808,Águas Vermelhas - MG
Nova Floresta (PB),0.601,0.576,0.498,0.758,Nova Floresta - PB
Alto Santo (CE),0.601,0.563,0.499,0.774,Alto Santo - CE
Ribeira do Pombal (BA),0.601,0.599,0.515,0.704,Ribeira do Pombal - BA
Feira Nova (PE),0.6,0.581,0.46,0.807,Feira Nova - PE
Coribe (BA),0.6,0.545,0.491,0.807,Coribe - BA
Piquet Carneiro (CE),0.6,0.53,0.523,0.779,Piquet Carneiro - CE
Nossa Senhora das Dores (SE),0.6,0.579,0.497,0.749,Nossa Senhora das Dores - SE
Paulistana (PI),0.6,0.596,0.472,0.767,Paulistana - PI
Cidelândia (MA),0.6,0.562,0.529,0.728,Cidelândia - MA
Inácio Martins (PR),0.6,0.623,0.454,0.765,Inácio Martins - PR
Wanderley (BA),0.6,0.569,0.498,0.764,Wanderley - BA
Rio Sono (TO),0.6,0.574,0.482,0.779,Rio Sono - TO
Coronel Domingos Soares (PR),0.6,0.609,0.447,0.792,Coronel Domingos Soares - PR
Santo André (PB),0.6,0.568,0.476,0.797,Santo André - PB
Moreilândia (PE),0.6,0.522,0.54,0.768,Moreilândia - PE
São Geraldo da Piedade (MG),0.6,0.625,0.447,0.774,São Geraldo da Piedade - MG
Itinga (MG),0.6,0.559,0.484,0.797,Itinga - MG
Itiruçu (BA),0.6,0.588,0.482,0.762,Itiruçu - BA
São Pedro dos Crentes (MA),0.6,0.558,0.524,0.738,São Pedro dos Crentes - MA
Assaré (CE),0.6,0.573,0.482,0.783,Assaré - CE
Piranga (MG),0.6,0.585,0.461,0.799,Piranga - MG
Barão de Melgaço (MT),0.6,0.598,0.44,0.82,Barão de Melgaço - MT
Chorrochó (BA),0.6,0.552,0.503,0.779,Chorrochó - BA
Bragança (PA),0.6,0.589,0.486,0.755,Bragança - PA
Catas Altas da Noruega (MG),0.6,0.588,0.46,0.799,Catas Altas da Noruega - MG
Alcântaras (CE),0.6,0.549,0.524,0.751,Alcântaras - CE
Martinópole (CE),0.599,0.541,0.522,0.76,Martinópole - CE
Iraquara (BA),0.599,0.548,0.523,0.749,Iraquara - BA
Hugo Napoleão (PI),0.599,0.528,0.524,0.776,Hugo Napoleão - PI
Agricolândia (PI),0.599,0.55,0.526,0.742,Agricolândia - PI
Malhada dos Bois (SE),0.599,0.56,0.531,0.722,Malhada dos Bois - SE
Pedra Branca (PB),0.599,0.532,0.532,0.761,Pedra Branca - PB
Terra Nova (PE),0.599,0.545,0.533,0.741,Terra Nova - PE
Barro (CE),0.599,0.556,0.51,0.758,Barro - CE
Santa Luzia do Paruá (MA),0.599,0.583,0.51,0.723,Santa Luzia do Paruá - MA
Gavião (BA),0.599,0.566,0.508,0.747,Gavião - BA
Itapecuru Mirim (MA),0.599,0.534,0.539,0.747,Itapecuru Mirim - MA
Antonina do Norte (CE),0.599,0.55,0.506,0.772,Antonina do Norte - CE
Cravolândia (BA),0.599,0.559,0.503,0.765,Cravolândia - BA
Peri Mirim (MA),0.599,0.506,0.572,0.744,Peri Mirim - MA
Parnamirim (PE),0.599,0.556,0.499,0.776,Parnamirim - PE
Chã Grande (PE),0.599,0.603,0.443,0.803,Chã Grande - PE
Tasso Fragoso (MA),0.599,0.562,0.491,0.777,Tasso Fragoso - MA
Itapé (BA),0.599,0.574,0.491,0.761,Itapé - BA
Xapuri (AC),0.599,0.621,0.448,0.773,Xapuri - AC
Lafaiete Coutinho (BA),0.599,0.576,0.483,0.771,Lafaiete Coutinho - BA
Bandeira (MG),0.599,0.583,0.454,0.811,Bandeira - MG
Boa Ventura (PB),0.599,0.566,0.48,0.79,Boa Ventura - PB
Capela do Alto Alegre (BA),0.599,0.582,0.48,0.77,Capela do Alto Alegre - BA
Mãe do Rio (PA),0.599,0.615,0.458,0.763,Mãe do Rio - PA
Tanque Novo (BA),0.599,0.583,0.474,0.778,Tanque Novo - BA
Alagoinha (PE),0.599,0.569,0.472,0.801,Alagoinha - PE
Itabela (BA),0.599,0.614,0.465,0.751,Itabela - BA
Itajuípe (BA),0.599,0.609,0.466,0.759,Itajuípe - BA
Porto Estrela (MT),0.599,0.571,0.467,0.804,Porto Estrela - MT
Mansidão (BA),0.599,0.503,0.568,0.752,Mansidão - BA
Padre Carvalho (MG),0.599,0.575,0.471,0.795,Padre Carvalho - MG
Boa Viagem (CE),0.598,0.553,0.504,0.768,Boa Viagem - CE
São João Batista (MA),0.598,0.493,0.577,0.752,São João Batista - MA
Altinho (PE),0.598,0.559,0.482,0.792,Altinho - PE
Serrinha dos Pintos (RN),0.598,0.555,0.492,0.782,Serrinha dos Pintos - RN
Monte das Gameleiras (RN),0.598,0.56,0.509,0.752,Monte das Gameleiras - RN
Nossa Senhora de Lourdes (SE),0.598,0.56,0.532,0.719,Nossa Senhora de Lourdes - SE
Seringueiras (RO),0.598,0.644,0.427,0.779,Seringueiras - RO
Antônio Gonçalves (BA),0.598,0.58,0.498,0.741,Antônio Gonçalves - BA
Jucás (CE),0.598,0.541,0.511,0.772,Jucás - CE
Iguaraci (PE),0.598,0.58,0.48,0.77,Iguaraci - PE
Amarante (PI),0.598,0.574,0.497,0.75,Amarante - PI
Santa Maria do Pará (PA),0.598,0.595,0.471,0.764,Santa Maria do Pará - PA
Chapada do Norte (MG),0.598,0.571,0.469,0.798,Chapada do Norte - MG
Belmonte (BA),0.598,0.577,0.48,0.771,Belmonte - BA
Urandi (BA),0.598,0.595,0.469,0.766,Urandi - BA
Santaluz (BA),0.598,0.559,0.5,0.764,Santaluz - BA
Pombos (PE),0.598,0.584,0.463,0.79,Pombos - PE
Lagoinha do Piauí (PI),0.597,0.561,0.488,0.776,Lagoinha do Piauí - PI
Flores de Goiás (GO),0.597,0.583,0.457,0.799,Flores de Goiás - GO
Bom Jesus (PB),0.597,0.584,0.477,0.762,Bom Jesus - PB
Santa Luzia do Norte (AL),0.597,0.58,0.477,0.77,Santa Luzia do Norte - AL
Aguiar (PB),0.597,0.632,0.447,0.753,Aguiar - PB
São Domingos (GO),0.597,0.576,0.445,0.83,São Domingos - GO
Novo Horizonte (BA),0.597,0.558,0.503,0.757,Novo Horizonte - BA
Serra Negra do Norte (RN),0.597,0.578,0.468,0.787,Serra Negra do Norte - RN
Magalhães Barata (PA),0.597,0.524,0.507,0.801,Magalhães Barata - PA
Fernando Pedroza (RN),0.597,0.565,0.519,0.727,Fernando Pedroza - RN
Angelândia (MG),0.597,0.594,0.473,0.756,Angelândia - MG
Morro do Pilar (MG),0.597,0.622,0.422,0.809,Morro do Pilar - MG
Lagoa Grande (PE),0.597,0.581,0.52,0.705,Lagoa Grande - PE
Cariús (CE),0.597,0.546,0.519,0.751,Cariús - CE
Tanquinho (BA),0.597,0.567,0.488,0.768,Tanquinho - BA
Sirinhaém (PE),0.597,0.568,0.492,0.763,Sirinhaém - PE
Frutuoso Gomes (RN),0.597,0.565,0.512,0.737,Frutuoso Gomes - RN
Materlândia (MG),0.597,0.557,0.497,0.769,Materlândia - MG
Hidrolândia (CE),0.597,0.549,0.499,0.775,Hidrolândia - CE
Maribondo (AL),0.597,0.581,0.487,0.751,Maribondo - AL
Brejões (BA),0.597,0.56,0.49,0.775,Brejões - BA
Nova Fátima (BA),0.597,0.575,0.501,0.738,Nova Fátima - BA
Brejo do Cruz (PB),0.597,0.575,0.463,0.798,Brejo do Cruz - PB
Colinas (MA),0.596,0.571,0.524,0.709,Colinas - MA
Muricilândia (TO),0.596,0.543,0.524,0.745,Muricilândia - TO
Vitória do Mearim (MA),0.596,0.54,0.534,0.733,Vitória do Mearim - MA
Lapão (BA),0.596,0.55,0.51,0.755,Lapão - BA
Padre Paraíso (MG),0.596,0.556,0.478,0.797,Padre Paraíso - MG
Central (BA),0.596,0.54,0.538,0.728,Central - BA
Machadinho D'Oeste (RO),0.596,0.629,0.446,0.755,Machadinho D'Oeste - RO
São Braz do Piauí (PI),0.596,0.533,0.514,0.771,São Braz do Piauí - PI
Governador Jorge Teixeira (RO),0.596,0.627,0.444,0.762,Governador Jorge Teixeira - RO
Vitória do Xingu (PA),0.596,0.594,0.451,0.792,Vitória do Xingu - PA
Cocos (BA),0.596,0.558,0.471,0.805,Cocos - BA
Upanema (RN),0.596,0.542,0.516,0.758,Upanema - RN
Cariré (CE),0.596,0.537,0.526,0.749,Cariré - CE
Piracuruca (PI),0.596,0.575,0.478,0.77,Piracuruca - PI
Novo Jardim (TO),0.596,0.559,0.52,0.73,Novo Jardim - TO
Manaquiri (AM),0.596,0.556,0.51,0.748,Manaquiri - AM
Cacimba de Areia (PB),0.596,0.553,0.497,0.771,Cacimba de Areia - PB
Alagoinha (PB),0.595,0.574,0.462,0.795,Alagoinha - PB
Pirpirituba (PB),0.595,0.566,0.499,0.745,Pirpirituba - PB
Nova Nazaré (MT),0.595,0.621,0.427,0.793,Nova Nazaré - MT
Presidente Kubitschek (MG),0.595,0.573,0.468,0.787,Presidente Kubitschek - MG
Jundiá (RN),0.595,0.552,0.492,0.775,Jundiá - RN
Emas (PB),0.595,0.554,0.492,0.773,Emas - PB
São Pedro do Piauí (PI),0.595,0.553,0.492,0.776,São Pedro do Piauí - PI
Codó (MA),0.595,0.568,0.492,0.754,Codó - MA
Granito (PE),0.595,0.543,0.502,0.773,Granito - PE
João Câmara (RN),0.595,0.6,0.484,0.724,João Câmara - RN
Itacuruba (PE),0.595,0.567,0.523,0.712,Itacuruba - PE
Acopiara (CE),0.595,0.563,0.517,0.724,Acopiara - CE
São Bento do Trairí (RN),0.595,0.526,0.525,0.763,São Bento do Trairí - RN
Serrita (PE),0.595,0.542,0.512,0.76,Serrita - PE
Paranã (TO),0.595,0.588,0.461,0.777,Paranã - TO
São Geraldo do Araguaia (PA),0.595,0.594,0.447,0.793,São Geraldo do Araguaia - PA
Trindade (PE),0.595,0.602,0.455,0.768,Trindade - PE
Serra do Ramalho (BA),0.595,0.53,0.512,0.775,Serra do Ramalho - BA
Zé Doca (MA),0.595,0.559,0.505,0.745,Zé Doca - MA
Ouro Verde de Minas (MG),0.595,0.582,0.459,0.789,Ouro Verde de Minas - MG
Solânea (PB),0.595,0.592,0.468,0.762,Solânea - PB
Ponto dos Volantes (MG),0.595,0.564,0.478,0.781,Ponto dos Volantes - MG
Igarapé-Açu (PA),0.595,0.579,0.49,0.743,Igarapé-Açu - PA
São Lourenço do Piauí (PI),0.595,0.56,0.499,0.753,São Lourenço do Piauí - PI
Eliseu Martins (PI),0.595,0.616,0.462,0.742,Eliseu Martins - PI
Barras (PI),0.595,0.558,0.485,0.779,Barras - PI
Arauá (SE),0.595,0.55,0.49,0.783,Arauá - SE
Santa Rosa do Tocantins (TO),0.595,0.574,0.471,0.78,Santa Rosa do Tocantins - TO
Nova Palmeira (PB),0.595,0.567,0.488,0.762,Nova Palmeira - PB
Condado (PB),0.594,0.573,0.476,0.769,Condado - PB
Pintópolis (MG),0.594,0.56,0.469,0.799,Pintópolis - MG
São Domingos do Araguaia (PA),0.594,0.629,0.451,0.738,São Domingos do Araguaia - PA
São Sebastião de Lagoa de Roça (PB),0.594,0.561,0.471,0.795,São Sebastião de Lagoa de Roça - PB
Bannach (PA),0.594,0.635,0.42,0.784,Bannach - PA
Custódia (PE),0.594,0.607,0.489,0.706,Custódia - PE
Areia (PB),0.594,0.593,0.467,0.756,Areia - PB
Batalha (AL),0.594,0.563,0.496,0.752,Batalha - AL
Ocara (CE),0.594,0.524,0.519,0.771,Ocara - CE
Óbidos (PA),0.594,0.556,0.499,0.756,Óbidos - PA
Bertópolis (MG),0.594,0.576,0.455,0.799,Bertópolis - MG
Quiterianópolis (CE),0.594,0.524,0.518,0.774,Quiterianópolis - CE
Rio do Pires (BA),0.594,0.568,0.481,0.767,Rio do Pires - BA
São Julião (PI),0.594,0.593,0.455,0.775,São Julião - PI
Normandia (RR),0.594,0.52,0.502,0.801,Normandia - RR
Riacho de Santo Antônio (PB),0.594,0.569,0.502,0.735,Riacho de Santo Antônio - PB
Tapiramutá (BA),0.594,0.589,0.473,0.752,Tapiramutá - BA
Anamã (AM),0.594,0.537,0.526,0.741,Anamã - AM
Itororó (BA),0.594,0.598,0.474,0.739,Itororó - BA
São Félix do Xingu (PA),0.594,0.638,0.411,0.798,São Félix do Xingu - PA
Santana dos Garrotes (PB),0.594,0.568,0.479,0.772,Santana dos Garrotes - PB
Anísio de Abreu (PI),0.594,0.534,0.512,0.768,Anísio de Abreu - PI
Carrasco Bonito (TO),0.594,0.543,0.531,0.728,Carrasco Bonito - TO
Varzelândia (MG),0.594,0.546,0.477,0.806,Varzelândia - MG
Teodoro Sampaio (BA),0.594,0.567,0.477,0.774,Teodoro Sampaio - BA
Miravânia (MG),0.593,0.544,0.492,0.781,Miravânia - MG
Diamante (PB),0.593,0.562,0.496,0.748,Diamante - PB
Maraú (BA),0.593,0.643,0.404,0.801,Maraú - BA
Pão de Açúcar (AL),0.593,0.536,0.491,0.793,Pão de Açúcar - AL
Tamandaré (PE),0.593,0.583,0.479,0.745,Tamandaré - PE
Aragominas (TO),0.593,0.611,0.461,0.739,Aragominas - TO
São Miguel das Matas (BA),0.593,0.568,0.468,0.783,São Miguel das Matas - BA
Belém (AL),0.593,0.587,0.464,0.764,Belém - AL
João Dourado (BA),0.593,0.573,0.513,0.709,João Dourado - BA
Comercinho (MG),0.593,0.566,0.462,0.797,Comercinho - MG
Jardim do Mulato (PI),0.593,0.532,0.55,0.711,Jardim do Mulato - PI
Campo Novo de Rondônia (RO),0.593,0.667,0.404,0.772,Campo Novo de Rondônia - RO
Jacaraci (BA),0.593,0.573,0.49,0.741,Jacaraci - BA
Pedra Mole (SE),0.593,0.599,0.499,0.698,Pedra Mole - SE
São Bento do Una (PE),0.593,0.593,0.446,0.789,São Bento do Una - PE
União dos Palmares (AL),0.593,0.59,0.462,0.764,União dos Palmares - AL
Carnaubal (CE),0.593,0.536,0.513,0.76,Carnaubal - CE
Buenos Aires (PE),0.593,0.556,0.481,0.778,Buenos Aires - PE
Tacuru (MS),0.593,0.615,0.434,0.782,Tacuru - MS
Ubatã (BA),0.593,0.586,0.452,0.788,Ubatã - BA
Santa Terezinha (PE),0.593,0.54,0.524,0.737,Santa Terezinha - PE
Glória (BA),0.593,0.563,0.479,0.775,Glória - BA
Caiçara (PB),0.592,0.58,0.488,0.733,Caiçara - PB
Antas (BA),0.592,0.573,0.491,0.739,Antas - BA
Itapetim (PE),0.592,0.598,0.494,0.704,Itapetim - PE
Santa Rosa de Lima (SE),0.592,0.527,0.514,0.766,Santa Rosa de Lima - SE
Queimadas (BA),0.592,0.55,0.493,0.764,Queimadas - BA
São Vicente Ferrer (MA),0.592,0.504,0.541,0.762,São Vicente Ferrer - MA
São Gabriel (BA),0.592,0.55,0.537,0.704,São Gabriel - BA
Tenente Ananias (RN),0.592,0.57,0.468,0.779,Tenente Ananias - RN
Pedrinhas (SE),0.592,0.568,0.486,0.75,Pedrinhas - SE
Alvarenga (MG),0.592,0.589,0.441,0.798,Alvarenga - MG
Juruti (PA),0.592,0.547,0.501,0.756,Juruti - PA
Barão de Grajaú (MA),0.592,0.578,0.484,0.743,Barão de Grajaú - MA
Riachuelo (RN),0.592,0.561,0.481,0.767,Riachuelo - RN
Juvenília (MG),0.592,0.535,0.501,0.776,Juvenília - MG
Itaju do Colônia (BA),0.592,0.57,0.502,0.724,Itaju do Colônia - BA
Viçosa (RN),0.592,0.552,0.502,0.747,Viçosa - RN
Fronteira dos Vales (MG),0.592,0.556,0.46,0.813,Fronteira dos Vales - MG
Coração de Maria (BA),0.592,0.558,0.489,0.762,Coração de Maria - BA
Coremas (PB),0.592,0.578,0.452,0.794,Coremas - PB
Conceição (PB),0.592,0.577,0.476,0.754,Conceição - PB
Serrinha (RN),0.592,0.547,0.502,0.757,Serrinha - RN
Nova Belém (MG),0.592,0.563,0.481,0.768,Nova Belém - MG
Venturosa (PE),0.592,0.57,0.484,0.751,Venturosa - PE
Santanópolis (BA),0.592,0.561,0.496,0.746,Santanópolis - BA
Conceição do Tocantins (TO),0.592,0.588,0.478,0.739,Conceição do Tocantins - TO
Brejolândia (BA),0.592,0.533,0.523,0.746,Brejolândia - BA
Miraíma (CE),0.592,0.51,0.523,0.778,Miraíma - CE
Alto Alegre dos Parecis (RO),0.592,0.603,0.443,0.777,Alto Alegre dos Parecis - RO
Bom Sucesso (PB),0.592,0.558,0.494,0.752,Bom Sucesso - PB
Ingá (PB),0.592,0.573,0.471,0.768,Ingá - PB
Governador Dix-Sept Rosado (RN),0.592,0.564,0.485,0.759,Governador Dix-Sept Rosado - RN
Caridade (CE),0.592,0.528,0.505,0.779,Caridade - CE
Souto Soares (BA),0.592,0.533,0.53,0.734,Souto Soares - BA
Brejinho (RN),0.592,0.585,0.492,0.722,Brejinho - RN
Passira (PE),0.592,0.559,0.487,0.763,Passira - PE
Belém (PB),0.592,0.557,0.492,0.759,Belém - PB
Mazagão (AP),0.592,0.609,0.449,0.758,Mazagão - AP
Cupira (PE),0.592,0.601,0.453,0.763,Cupira - PE
Agrestina (PE),0.592,0.581,0.47,0.76,Agrestina - PE
Araçoiaba (PE),0.592,0.544,0.498,0.765,Araçoiaba - PE
Tartarugalzinho (AP),0.592,0.553,0.473,0.794,Tartarugalzinho - AP
Umari (CE),0.591,0.535,0.497,0.778,Umari - CE
Quixelô (CE),0.591,0.548,0.52,0.725,Quixelô - CE
Santana do Matos (RN),0.591,0.559,0.482,0.767,Santana do Matos - RN
Mirandiba (PE),0.591,0.512,0.525,0.769,Mirandiba - PE
Candiba (BA),0.591,0.578,0.481,0.743,Candiba - BA
Ibicoara (BA),0.591,0.583,0.484,0.731,Ibicoara - BA
Pocinhos (PB),0.591,0.556,0.477,0.779,Pocinhos - PB
Brejo Grande do Araguaia (PA),0.591,0.588,0.473,0.743,Brejo Grande do Araguaia - PA
São José de Piranhas (PB),0.591,0.594,0.461,0.755,São José de Piranhas - PB
Regeneração (PI),0.591,0.582,0.498,0.714,Regeneração - PI
Dom Basílio (BA),0.591,0.547,0.482,0.783,Dom Basílio - BA
Ibiracatu (MG),0.591,0.537,0.489,0.786,Ibiracatu - MG
Jerumenha (PI),0.591,0.569,0.461,0.787,Jerumenha - PI
São Miguel dos Milagres (AL),0.591,0.545,0.504,0.752,São Miguel dos Milagres - AL
São Miguel do Gostoso (RN),0.591,0.558,0.468,0.79,São Miguel do Gostoso - RN
Cuité (PB),0.591,0.574,0.47,0.766,Cuité - PB
Iuiú (BA),0.591,0.553,0.504,0.74,Iuiú - BA
São Caitano (PE),0.591,0.583,0.469,0.756,São Caitano - PE
Santana do Ipanema (AL),0.591,0.579,0.463,0.77,Santana do Ipanema - AL
Presidente Médici (MA),0.591,0.518,0.522,0.762,Presidente Médici - MA
São Miguel do Guamá (PA),0.591,0.582,0.471,0.752,São Miguel do Guamá - PA
Pires Ferreira (CE),0.591,0.51,0.526,0.769,Pires Ferreira - CE
Riacho de Santana (RN),0.591,0.545,0.489,0.776,Riacho de Santana - RN
São Domingos do Azeitão (MA),0.59,0.576,0.486,0.732,São Domingos do Azeitão - MA
Utinga (BA),0.59,0.597,0.487,0.706,Utinga - BA
Marcos Parente (PI),0.59,0.58,0.494,0.717,Marcos Parente - PI
Frei Gaspar (MG),0.59,0.569,0.452,0.799,Frei Gaspar - MG
Ipupiara (BA),0.59,0.558,0.499,0.736,Ipupiara - BA
Mundo Novo (BA),0.59,0.606,0.429,0.791,Mundo Novo - BA
Croatá (CE),0.59,0.497,0.544,0.76,Croatá - CE
Porto do Mangue (RN),0.59,0.558,0.504,0.732,Porto do Mangue - RN
Cotegipe (BA),0.59,0.545,0.504,0.746,Cotegipe - BA
Montadas (PB),0.59,0.545,0.505,0.748,Montadas - PB
Buriti Bravo (MA),0.59,0.539,0.506,0.752,Buriti Bravo - MA
Santa Maria (RN),0.59,0.554,0.477,0.779,Santa Maria - RN
Serrolândia (BA),0.59,0.56,0.508,0.721,Serrolândia - BA
Paratinga (BA),0.59,0.519,0.51,0.774,Paratinga - BA
Sapucaia (PA),0.59,0.639,0.405,0.792,Sapucaia - PA
Pedras de Fogo (PB),0.59,0.568,0.468,0.771,Pedras de Fogo - PB
Santana do São Francisco (SE),0.59,0.544,0.526,0.716,Santana do São Francisco - SE
Ararendá (CE),0.59,0.522,0.516,0.763,Ararendá - CE
Santa Maria da Boa Vista (PE),0.59,0.564,0.472,0.773,Santa Maria da Boa Vista - PE
Canavieiras (BA),0.59,0.596,0.434,0.796,Canavieiras - BA
Pai Pedro (MG),0.59,0.52,0.52,0.76,Pai Pedro - MG
Redenção do Gurguéia (PI),0.589,0.557,0.478,0.766,Redenção do Gurguéia - PI
Paraná (RN),0.589,0.532,0.496,0.776,Paraná - RN
Coronel Sapucaia (MS),0.589,0.607,0.417,0.806,Coronel Sapucaia - MS
Dormentes (PE),0.589,0.558,0.495,0.741,Dormentes - PE
Monte Alegre (PA),0.589,0.541,0.495,0.764,Monte Alegre - PA
Lajeado Novo (MA),0.589,0.561,0.494,0.738,Lajeado Novo - MA
Tocantínia (TO),0.589,0.57,0.459,0.782,Tocantínia - TO
Piranhas (AL),0.589,0.563,0.462,0.786,Piranhas - AL
Neópolis (SE),0.589,0.575,0.505,0.702,Neópolis - SE
São Domingos do Cariri (PB),0.589,0.603,0.438,0.773,São Domingos do Cariri - PB
Frei Paulo (SE),0.589,0.623,0.428,0.768,Frei Paulo - SE
São Pedro (RN),0.589,0.574,0.449,0.794,São Pedro - RN
Paulo Jacinto (AL),0.589,0.551,0.507,0.732,Paulo Jacinto - AL
Lagoa de Velhos (RN),0.589,0.566,0.458,0.789,Lagoa de Velhos - RN
Olho D'Água das Cunhãs (MA),0.589,0.551,0.491,0.754,Olho D'Água das Cunhãs - MA
Itagibá (BA),0.589,0.566,0.469,0.77,Itagibá - BA
Palestina do Pará (PA),0.589,0.574,0.467,0.761,Palestina do Pará - PA
Carnaubais (RN),0.589,0.583,0.476,0.738,Carnaubais - RN
Lago da Pedra (MA),0.589,0.561,0.502,0.724,Lago da Pedra - MA
Theobroma (RO),0.589,0.622,0.434,0.757,Theobroma - RO
Bujari (AC),0.589,0.603,0.439,0.772,Bujari - AC
Passagem (RN),0.589,0.547,0.501,0.747,Passagem - RN
Uruará (PA),0.589,0.609,0.42,0.798,Uruará - PA
Baianópolis (BA),0.589,0.543,0.492,0.763,Baianópolis - BA
Esplanada (BA),0.589,0.589,0.469,0.74,Esplanada - BA
Conceição do Canindé (PI),0.589,0.559,0.482,0.759,Conceição do Canindé - PI
Anguera (BA),0.589,0.565,0.471,0.766,Anguera - BA
Bom Jesus do Tocantins (PA),0.589,0.601,0.437,0.777,Bom Jesus do Tocantins - PA
São Domingos (SE),0.588,0.572,0.471,0.756,São Domingos - SE
Feira da Mata (BA),0.588,0.527,0.505,0.763,Feira da Mata - BA
Belterra (PA),0.588,0.548,0.478,0.775,Belterra - PA
Colônia do Piauí (PI),0.588,0.57,0.462,0.772,Colônia do Piauí - PI
Andorinha (BA),0.588,0.586,0.474,0.731,Andorinha - BA
Urucurituba (AM),0.588,0.538,0.487,0.776,Urucurituba - AM
Santa Luz (PI),0.588,0.539,0.49,0.768,Santa Luz - PI
Morrinhos (CE),0.588,0.524,0.511,0.76,Morrinhos - CE
Afrânio (PE),0.588,0.542,0.493,0.761,Afrânio - PE
Camocim de São Félix (PE),0.588,0.585,0.472,0.738,Camocim de São Félix - PE
Paranhos (MS),0.588,0.566,0.444,0.811,Paranhos - MS
Pedrão (BA),0.588,0.534,0.49,0.775,Pedrão - BA
Assis Brasil (AC),0.588,0.578,0.456,0.77,Assis Brasil - AC
Tailândia (PA),0.588,0.583,0.45,0.776,Tailândia - PA
Carira (SE),0.588,0.581,0.442,0.791,Carira - SE
Morro do Chapéu (BA),0.588,0.554,0.478,0.766,Morro do Chapéu - BA
Boca do Acre (AM),0.588,0.576,0.455,0.777,Boca do Acre - AM
Aramari (BA),0.588,0.568,0.47,0.761,Aramari - BA
Urbano Santos (MA),0.588,0.506,0.522,0.77,Urbano Santos - MA
Luís Domingues (MA),0.588,0.541,0.512,0.734,Luís Domingues - MA
Maués (AM),0.588,0.549,0.464,0.8,Maués - AM
