municipio,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,municipio_sidra
Nova Pádua (RS),0.761,0.762,0.678,0.852,Nova Pádua - RS
Taió (SC),0.761,0.749,0.67,0.879,Taió - SC
Zortéa (SC),0.761,0.752,0.661,0.885,Zortéa - SC
Umuarama (PR),0.761,0.755,0.698,0.836,Umuarama - PR
Indiana (SP),0.761,0.714,0.733,0.843,Indiana - SP
Panambi (RS),0.761,0.752,0.691,0.848,Panambi - RS
Conselheiro Lafaiete (MG),0.761,0.736,0.697,0.86,Conselheiro Lafaiete - MG
Santa Rita D'Oeste (SP),0.761,0.711,0.74,0.839,Santa Rita D'Oeste - SP
Sertãozinho (SP),0.761,0.768,0.672,0.855,Sertãozinho - SP
Itaara (RS),0.76,0.761,0.687,0.841,Itaara - RS
Frederico Westphalen (RS),0.76,0.754,0.688,0.846,Frederico Westphalen - RS
Estrela D'Oeste (SP),0.76,0.712,0.705,0.873,Estrela D'Oeste - SP
Santa Adélia (SP),0.76,0.75,0.702,0.835,Santa Adélia - SP
Goiandira (GO),0.76,0.711,0.727,0.849,Goiandira - GO
Porto Belo (SC),0.76,0.75,0.66,0.886,Porto Belo - SC
Modelo (SC),0.76,0.751,0.659,0.886,Modelo - SC
Serafina Corrêa (RS),0.76,0.755,0.69,0.843,Serafina Corrêa - RS
Rio Negro (PR),0.76,0.721,0.705,0.863,Rio Negro - PR
Araranguá (SC),0.76,0.745,0.691,0.853,Araranguá - SC
Jandira (SP),0.76,0.738,0.706,0.841,Jandira - SP
Campinas do Sul (RS),0.76,0.753,0.691,0.842,Campinas do Sul - RS
Sete Lagoas (MG),0.76,0.742,0.705,0.84,Sete Lagoas - MG
