cod_municipio,municipio,uf,total_domicilios,perc_agua_rede,perc_esgoto_rede,perc_lixo_coletado,perc_alfabetizacao,renda_media,per_domicilio_urbano,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,cluster,cluster_nome
3530508,Mococa - SP,SP,24696,93.05960479429866,93.24586977648202,97.70813087139618,96.42,1693.15,94.87300719552016,0.762,0.756,0.709,0.827,1,Desenvolvido
3530607,Mogi das Cruzes - SP,SP,158693,90.63285715185924,81.4201004455143,98.93063966274504,97.07,1851.39,93.92631310838196,0.783,0.762,0.74,0.851,1,Desenvolvido
3530706,Mogi Guaçu - SP,SP,54720,97.24415204678364,96.31030701754386,99.39875730994152,97.19,1747.34,97.13910112067056,0.774,0.74,0.736,0.852,1,Desenvolvido
3530805,Mogi Mirim - SP,SP,33795,94.81284213641072,92.65571830152388,97.86654830596244,96.95,2026.17,94.32463968538646,0.784,0.767,0.715,0.879,1,Desenvolvido
3530904,Mombuca - SP,SP,1232,86.2012987012987,85.22727272727273,98.05194805194806,92.93,1274.03,85.14239656098871,0.719,0.746,0.607,0.82,1,Desenvolvido
3531001,Monções - SP,SP,799,91.23904881101376,91.48936170212764,95.61952440550688,94.22,1338.77,90.50077439339184,0.772,0.731,0.773,0.814,1,Desenvolvido
3531100,Mongaguá - SP,SP,21572,95.16966437975152,86.12089745966995,98.88744669015392,96.17,1287.82,98.85877548385014,0.754,0.719,0.699,0.854,1,Desenvolvido
3531209,Monte Alegre do Sul - SP,SP,3244,70.12946979038225,56.596794081381006,97.25647348951912,95.79,1992.61,70.31413005679842,0.759,0.752,0.678,0.858,1,Desenvolvido
3531308,Monte Alto - SP,SP,18050,96.31024930747922,96.65373961218836,97.14681440443212,96.69,1861.15,96.47916929415229,0.768,0.746,0.707,0.859,1,Desenvolvido
3531407,Monte Aprazível - SP,SP,8641,92.36199513945144,93.02164101377156,96.4818886702928,96.21,1691.5,93.15978456014362,0.785,0.781,0.72,0.861,1,Desenvolvido
3531506,Monte Azul Paulista - SP,SP,6769,93.7656965578372,94.90323533756832,97.84310828778254,95.2,1799.99,94.14357335683984,0.753,0.733,0.69,0.843,1,Desenvolvido
3531605,Monte Castelo - SP,SP,1626,83.94833948339483,84.25584255842558,93.9729397293973,92.54,1402.16,84.4860255802937,0.741,0.706,0.709,0.814,1,Desenvolvido
3531704,Monteiro Lobato - SP,SP,1568,47.51275510204081,40.43367346938776,96.42857142857144,91.9,1471.13,37.409376510391496,0.71,0.692,0.627,0.826,3,Rural de Média Renda
3531803,Monte Mor - SP,SP,22385,91.83828456555727,86.30332812150994,98.73129327674782,95.58,1367.63,97.04463208685162,0.733,0.713,0.639,0.863,1,Desenvolvido
3531902,Morro Agudo - SP,SP,10018,90.11778798163306,95.95727690157716,97.12517468556598,94.85,1397.0,96.2266852826406,0.712,0.716,0.604,0.836,1,Desenvolvido
3532009,Morungaba - SP,SP,4779,84.99686126804771,84.7457627118644,98.66080770035572,96.36,1680.58,84.98542274052478,0.715,0.726,0.627,0.802,1,Desenvolvido
3532058,Motuca - SP,SP,1412,82.08215297450425,74.6458923512748,94.47592067988668,93.0,1479.74,73.05404065443727,0.741,0.685,0.691,0.859,1,Desenvolvido
3532108,Murutinga do Sul - SP,SP,1480,74.45945945945947,77.0945945945946,79.66216216216216,94.34,1502.97,73.37436446347337,0.726,0.703,0.643,0.847,1,Desenvolvido
3532157,Nantes - SP,SP,1027,91.91820837390458,95.22882181110027,97.07887049659202,92.51,1361.26,91.72932330827066,0.714,0.655,0.702,0.79,1,Desenvolvido
3532207,Narandiba - SP,SP,2063,89.4813378574891,88.85118759088706,94.08628211342705,93.9,1397.19,89.67267635217924,0.718,0.659,0.67,0.839,1,Desenvolvido
3532306,Natividade da Serra - SP,SP,2838,49.6476391825229,42.67089499647639,91.43763213530656,89.4,1183.61,41.69167023860552,0.655,0.664,0.52,0.814,3,Rural de Média Renda
3532405,Nazaré Paulista - SP,SP,6724,53.30160618679357,21.4009518143962,94.4824509220702,92.91,1356.62,50.10155349398913,0.678,0.681,0.559,0.818,3,Rural de Média Renda
3532504,Neves Paulista - SP,SP,3718,88.78429263044649,85.90640129101668,95.37385691231846,95.08,1828.88,89.84431384678832,0.754,0.737,0.707,0.823,1,Desenvolvido
3532603,Nhandeara - SP,SP,4016,84.13844621513944,85.60756972111554,93.17729083665338,94.4,1668.97,83.23183110028421,0.751,0.755,0.672,0.835,1,Desenvolvido
3532702,Nipoã - SP,SP,1761,89.09710391822829,91.2549687677456,95.40034071550257,92.91,1346.36,91.09473684210526,0.713,0.701,0.636,0.814,1,Desenvolvido
3532801,Nova Aliança - SP,SP,2501,89.5641743302679,90.1639344262295,95.60175929628149,95.4,1565.88,89.63095771701778,0.738,0.71,0.684,0.826,1,Desenvolvido
3532827,Nova Campina - SP,SP,2920,72.36301369863014,58.86986301369864,95.06849315068492,92.23,926.06,71.02506767094269,0.651,0.598,0.577,0.799,4,Em Transição
3532843,Nova Canaã Paulista - SP,SP,819,66.9108669108669,66.17826617826617,86.32478632478633,94.22,1499.45,66.53543307086615,0.715,0.673,0.675,0.806,4,Em Transição
3532868,Nova Castilho - SP,SP,398,74.62311557788944,74.87437185929649,92.21105527638191,95.9,1681.27,72.97551789077212,0.756,0.694,0.755,0.823,1,Desenvolvido
3532900,Nova Europa - SP,SP,3373,96.26445300919065,96.17551141417135,98.57693447969169,94.53,1301.87,96.19804532273656,0.765,0.718,0.718,0.869,1,Desenvolvido
3533007,Nova Granada - SP,SP,7285,91.57172271791352,92.3541523678792,96.1015785861359,94.67,1455.77,92.04387455584737,0.739,0.727,0.68,0.818,1,Desenvolvido
3533106,Nova Guataporanga - SP,SP,867,90.8881199538639,91.34948096885812,97.46251441753172,89.96,1356.94,90.63079777365492,0.726,0.707,0.644,0.842,1,Desenvolvido
3533205,Nova Independência - SP,SP,1471,88.17131203263087,90.34670292318152,93.47382732834804,96.12,1422.32,76.02516814927316,0.735,0.675,0.711,0.827,1,Desenvolvido
3533254,Novais - SP,SP,1593,93.53421217827996,93.72253609541744,95.41745134965474,94.59,1145.17,93.8123300090662,0.719,0.712,0.634,0.822,1,Desenvolvido
3533304,Nova Luzitânia - SP,SP,1122,91.53297682709449,94.91978609625669,97.95008912655972,93.87,1254.56,87.87451533309834,0.743,0.705,0.719,0.808,1,Desenvolvido
3533403,Nova Odessa - SP,SP,22197,98.09433707257736,97.95918367346938,99.8558363742848,97.87,1934.32,99.23733049549332,0.791,0.755,0.762,0.861,1,Desenvolvido
3533502,Novo Horizonte - SP,SP,14750,93.93898305084744,95.07796610169493,97.41016949152542,94.66,1693.96,95.50151341196116,0.753,0.741,0.665,0.865,1,Desenvolvido
3533601,Nuporanga - SP,SP,2686,93.55919583023082,93.63365599404318,98.28741623231572,95.47,1765.43,93.6679745636585,0.746,0.73,0.656,0.866,1,Desenvolvido
3533700,Ocauçu - SP,SP,1622,85.69667077681873,96.11590628853268,89.51911220715166,93.72,1349.57,85.54606326483491,0.717,0.679,0.653,0.83,1,Desenvolvido
3533809,Óleo - SP,SP,973,80.06166495375129,70.91469681397739,90.7502569373073,94.9,1376.51,76.47292993630573,0.73,0.713,0.637,0.858,1,Desenvolvido
3533908,Olímpia - SP,SP,20418,95.58232931726909,96.67940052894504,97.95278675678324,96.55,1674.78,96.87874496132476,0.773,0.737,0.724,0.867,1,Desenvolvido
3534005,Onda Verde - SP,SP,1703,84.38050499119201,85.37874339401057,96.06576629477392,94.29,1480.85,91.36449381680988,0.738,0.693,0.671,0.863,1,Desenvolvido
3534104,Oriente - SP,SP,2202,93.46049046321528,93.68755676657584,98.18346957311536,95.81,1590.53,94.95480690221856,0.77,0.717,0.761,0.837,1,Desenvolvido
3534203,Orindiúva - SP,SP,2117,91.96976854038736,93.19792158715164,98.15777042985356,93.96,1567.59,93.17729083665338,0.767,0.719,0.762,0.824,1,Desenvolvido
3534302,Orlândia - SP,SP,13559,97.92757577992477,98.56921601888044,98.71671952208864,96.45,1737.14,97.9018241603382,0.78,0.765,0.703,0.882,1,Desenvolvido
3534401,Osasco - SP,SP,261473,99.59842890088078,93.71598597178291,99.52691100037096,97.19,1951.14,99.99876477975336,0.776,0.776,0.718,0.84,1,Desenvolvido
3534500,Oscar Bressane - SP,SP,960,83.95833333333333,83.54166666666667,96.25,94.17,1469.93,82.99595141700405,0.749,0.713,0.715,0.823,1,Desenvolvido
3534609,Osvaldo Cruz - SP,SP,11761,96.25031885043788,96.23331349375052,96.96454383130686,96.3,1773.28,92.5844205679202,0.762,0.74,0.713,0.837,1,Desenvolvido
3534708,Ourinhos - SP,SP,38002,97.53960317878008,97.86327035419188,99.60265249197413,96.76,1834.77,98.1571607194383,0.778,0.753,0.727,0.859,1,Desenvolvido
3534757,Ouroeste - SP,SP,4044,91.46884272997032,91.66666666666666,96.3897131552918,94.47,1715.52,91.39304449193703,0.77,0.717,0.736,0.866,1,Desenvolvido
3534807,Ouro Verde - SP,SP,2929,94.60566746329803,93.27415500170709,96.58586548310004,91.79,1167.79,94.60084843810256,0.692,0.666,0.612,0.814,1,Desenvolvido
3534906,Pacaembu - SP,SP,3834,91.7318727177882,88.96713615023474,94.00104329681794,95.09,1561.57,60.065873496000535,0.725,0.717,0.631,0.843,1,Desenvolvido
3535002,Palestina - SP,SP,4452,88.40970350404312,90.27403414195868,92.56513926325248,93.53,1569.56,86.72882537469502,0.732,0.717,0.645,0.848,1,Desenvolvido
