cod_municipio,municipio,total_domicilios,perc_agua_rede,perc_esgoto_rede,perc_lixo_coletado,perc_alfabetizacao,renda_media,per_domicilio_urbano
3169307,Três Corações - MG,26358,92.68153881174595,90.96668943015403,96.36163593595872,95.03,1370.02,91.8381135324899
3169356,Três Marias - MG,10782,92.05156742719348,83.24986087924319,93.92506028566129,94.18,1333.18,93.14414258522235
3169406,Três Pontas - MG,19288,91.90688510991289,92.56532559104106,93.95479054334301,94.53,1459.07,91.77811962718306
3169505,Tumiritinga - MG,2259,75.52014165559983,54.13899955732625,81.85037627268703,89.04,895.69,71.88243289160721
3169604,Tupaciguara - MG,9774,91.8354818907305,93.60548393697566,96.72600777573153,93.82,1424.49,92.037691401649
3169703,Turmalina - MG,7436,86.90155997848305,70.34696073157612,85.59709521247983,89.32,1093.34,81.85
3169802,Turvolândia - MG,1798,67.07452725250278,67.18576195773082,86.15127919911012,93.01,1172.12,66.0790273556231
3169901,Ubá - MG,39042,87.56979662927105,86.13032119256185,98.38891450233082,96.08,1507.27,95.93479417597834
3170008,Ubaí - MG,3598,62.42356864924958,3.5853251806559197,59.97776542523624,87.04,803.38,52.23778612914247
3170057,Ubaporanga - MG,4666,44.96356622374625,51.35019288469781,72.97471067295328,89.91,1088.96,48.83613735883844
3170107,Uberaba - MG,127349,96.24339413737053,97.17861938452599,98.75146251639197,96.87,1939.6,97.78768396500077
3170206,Uberlândia - MG,268012,97.76875662283778,96.08972732564214,99.56718355894513,97.13,2079.68,98.59427052370644
3170305,Umburatiba - MG,1040,82.6923076923077,66.15384615384615,82.40384615384615,80.41,927.61,81.89269746646795
3170404,Unaí - MG,31515,83.57924797715374,79.43836268443599,86.49849278121529,94.35,1760.5,84.06585160299703
3170438,União de Minas - MG,1509,61.29887342611001,64.08217362491716,72.43207422133864,87.73,1279.07,61.80773249738767
3170479,Uruana de Minas - MG,1266,72.27488151658767,58.60979462875198,75.75039494470775,87.89,1091.98,71.57221206581352
3170503,Urucânia - MG,3566,78.26696578799776,81.04318564217611,90.77397644419518,88.65,1080.19,82.35849056603773
3170529,Urucuia - MG,4173,56.19458423196741,16.055595494847832,56.86556434219986,91.44,727.87,52.22838835173636
3170578,Vargem Alegre - MG,2207,86.08971454463072,84.68509288627095,88.49116447666515,86.28,1037.57,86.62629757785467
3170602,Vargem Bonita - MG,876,76.48401826484019,74.65753424657534,87.44292237442922,95.15,1496.78,72.613531047266
3170651,Vargem Grande do Rio Pardo - MG,1419,76.74418604651163,0.28188865398167723,67.65327695560254,80.62,881.5,58.515001079214336
3170701,Varginha - MG,49488,96.92046556741029,96.74668606530877,99.17555771096023,96.81,1874.49,97.29824792807052
3170750,Varjão de Minas - MG,2478,83.454398708636,86.03712671509281,90.63761097659403,94.1,1349.13,84.47409958387144
3170800,Várzea da Palma - MG,12988,92.25438866646135,51.709270095472746,91.122574684324,91.67,1062.12,89.36107159791369
3170909,Varzelândia - MG,6295,71.37410643367753,15.011914217633043,57.45830023828435,82.13,738.74,53.32271762208068
3171006,Vazante - MG,7548,87.01642819289877,84.85691573926869,93.37572866984631,95.49,1572.32,85.1764705882353
3171030,Verdelândia - MG,2516,66.01748807631161,23.012718600953896,64.26868044515103,83.1,764.71,59.67153284671532
3171071,Veredinha - MG,1917,82.36828377673449,62.49347939488784,79.86437141366719,83.37,898.68,74.34858135495078
3171105,Veríssimo - MG,1379,60.33357505438723,56.055112400290064,77.73749093546047,91.35,1352.42,63.70565816476107
3171154,Vermelho Novo - MG,1798,40.54505005561735,37.81979977753059,55.172413793103445,90.53,859.63,40.375586854460096
